# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
313.093250 0.075712 0.030243 2.000000 11.056640 1.498671 -10.665230 2.552996e-09
219.542530 9.336037 0.030295 -1.000000 11.001005 2.022576 -12.201600 2.917452e-09
175.636870 26.488892 0.030324 -1.000000 11.232360 2.022712 -12.662890 1.680660e-09
160.856070 40.774208 0.030349 4.000000 11.051460 1.780666 -11.008950 2.584697e-09
218.524410 0.620087 0.030401 -1.000000 11.101017 1.934535 -12.453800 2.295624e-09
219.843930 17.013366 0.030479 -1.000000 11.083030 1.954383 -12.408720 2.396151e-09
215.046100 10.262920 0.030496 4.000000 11.201842 0.000000 -12.778500 1.806748e-09
126.878810 54.904674 0.030525 3.000000 11.004061 1.935501 -12.073740 2.895493e-09
206.317350 23.218955 0.030590 4.000000 11.220469 1.925228 -12.683520 1.728339e-09
152.301810 15.005119 0.030611 -1.000000 11.223772 1.935050 -12.446150 1.714983e-09
132.595010 55.378723 0.030755 -1.000000 11.083773 1.928331 -12.582830 2.392175e-09
183.372000 50.741496 0.030757 4.000000 11.315524 1.904362 -12.768560 1.381632e-09
116.657110 44.790523 0.030805 3.000000 11.117427 1.813279 -11.041590 2.207829e-09
227.278550 26.509927 0.030840 -1.000000 11.085932 1.997464 -12.463270 2.380303e-09
134.469560 20.122529 0.030883 3.000000 11.020771 1.673050 -11.484500 2.781664e-09
125.176700 54.126566 0.030961 4.000000 11.015937 1.881898 -12.514670 2.814796e-09
133.020640 53.617336 0.031034 5.000000 11.196526 1.983273 -12.684410 1.829343e-09
208.805780 25.051795 0.031067 4.000000 11.211842 1.976833 -12.635240 1.763993e-09
204.798510 61.506020 0.031068 -1.000000 11.062352 1.948253 -12.577080 2.517559e-09
198.136730 11.728964 0.031073 4.000000 11.050934 2.094104 -12.548520 2.588007e-09
183.062050 56.177543 0.031083 4.000000 11.275663 1.980715 -12.704100 1.517470e-09
158.560040 61.640485 0.031142 -1.000000 11.095628 1.783009 -12.267610 2.324982e-09
221.750430 11.592022 0.031168 4.000000 11.136120 1.923796 -12.316830 2.111885e-09
168.293360 27.818235 0.031247 4.000000 11.155337 1.949283 -12.665220 2.017552e-09
240.668960 37.359497 0.031257 4.000000 11.131625 1.904545 -11.858020 2.133844e-09
249.474660 36.073054 0.031354 -1.000000 11.326408 2.029427 -12.804070 1.346842e-09
246.855140 42.679712 0.031384 4.000000 11.168149 1.906874 -12.615000 1.956548e-09
128.422180 54.549348 0.031456 -1.000000 11.075380 2.004198 -12.572270 2.440476e-09
243.740980 21.938413 0.031542 -1.000000 11.135641 1.961163 -12.100000 2.113563e-09
